word,type,language
pliget,pseudo,English
house,real,English
spult,pseudo,English
fenter,pseudo,English
canyon,real,English
boffer,pseudo,English
planet,real,English
gebegen,pseudo,Turkish
window,real,English
ladder,real,English
daire,real,Turkish
simber,pseudo,English
halvan,pseudo,Turkish
mabnet,pseudo,English
shufe,pseudo,Turkish
bahche,real,Turkish
shandici,pseudo,Turkish
sho,pseudo,Turkish
miknatis,real,Turkish
ev,real,Turkish
circle,real,English
pelvere,pseudo,Turkish
garden,real,English
hayvan,real,Turkish
pilver,pseudo,English
otul,pseudo,Turkish
okul,real,Turkish
yastik,real,Turkish
lantern,real,English
tangelide,pseudo,English
fener,real,Turkish
mantrida,pseudo,Turkish
doctor,real,English
gezegen,real,Turkish
sharkici,real,Turkish
tangerine,real,English
doltur,pseudo,Turkish
gorten,pseudo,English
pencere,real,Turkish
singer,real,English
fenerk,pseudo,Turkish
people,real,English
velvet,real,English
camber,pseudo,English
bottle,real,English
berte,pseudo,Turkish
animal,real,English
lintern,pseudo,English
melgiren,pseudo,Turkish
kanyon,real,Turkish
doktor,real,Turkish
kaytor,pseudo,Turkish
magnet,real,English
doster,pseudo,English
su,real,Turkish
aripal,pseudo,English
shishe,real,Turkish
wibber,pseudo,English
insan,real,Turkish
kelide,pseudo,Turkish
kadife,real,Turkish
finger,real,English
lanner,pseudo,English
mirtavis,pseudo,Turkish
mandalina,real,Turkish
ilfan,pseudo,Turkish
darpe,pseudo,Turkish
vernet,pseudo,English
cinter,pseudo,English
water,real,English
merdiven,real,Turkish
wamer,pseudo,English
school,real,English
peaner,pseudo,English
yaptik,pseudo,Turkish
hobe,pseudo,English
es,pseudo,Turkish
pormak,pseudo,Turkish
pillow,real,English
parmak,real,Turkish
